Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T25	T41	T44	T47	T50	T53	T56	T59	T63	T67
P13639	0	0	56	0	0	0	0	0	0.9999999999999962	0.9778330245874598	1.0487327290303248	1.007512316389629	0.9536562685558028	0.7206650208080991	0.3501718281912443	0.16926177345246787	0.1234117574597352	0.12244876495646961
P18206	0	0	86	0	0	0	0	0	0.9999999999999962	1.0000825562945899	0.9963179639501674	1.0204386405288448	1.0057648923564202	0.9128508796999629	0.7629601808166427	0.7902078084629107	0.8667100528669334	0.5890278924357667
P06733	0	0	40	0	0	0	0	0	0.9999999999999962	0.9714252053488713	1.0947192949431328	1.10546065668531	1.1093672397596088	1.0601639774835798	0.749536916571692	0.3962706814539691	0.10206378283277817	0.09291293444831203
P21333	0	0	86	0	0	0	0	0	0.9999999999999962	0.827744535143362	0.8607797057276043	0.8572576158277768	0.6699224876975343	0.42840419293492277	0.2518577204700824	0.17373737810498727	0.1483678264555247	0.1334431440067857
P11142	0	0	40	0	0	0	0	0	0.9999999999999962	0.9626691909372045	1.0606254643505184	1.0587288168840403	1.044188799468781	0.8594506538792812	0.32737855177226444	0.17460560237291592	0.14852708027594214	0.13866675338729748
P26038	0	0	51	0	0	0	0	0	0.9999999999999962	0.9726241616790997	1.0621134734170348	1.0609776242102376	1.1109049806057596	0.9967229202268001	0.21533481856396125	0.10916817406037094	0.08150710062602029	0.09934600425245778
Q9Y490	0	0	82	0	0	0	0	0	0.9999999999999962	0.8170782218897525	0.8140911774424653	0.8443019293809222	0.7024102051786772	0.3626574080520133	0.23975366630135242	0.15561548272829576	0.11840720615311734	0.10838399003818126
P49327	0	0	67	0	0	0	0	0	0.9999999999999962	0.8606785461091051	0.8318339141213053	0.8497874993256243	0.554236910086806	0.2631149396771971	0.15692472682182393	0.11498538424214313	0.09424043890477174	0.09437334068807833
P08238	0	0	36	0	0	0	0	0	0.9999999999999962	0.9842953418410584	1.0484360719846828	1.0442566536073847	0.9677666099425473	0.6204185866314946	0.39370854580872877	0.22466136729193453	0.2048999466945809	0.19139785011600194
P38646	0	0	41	0	0	0	0	0	0.9999999999999962	0.9882593553539182	1.0244994385184907	1.0262428778711532	1.0320996850488202	0.9490587909392987	0.4492165610566607	0.25113413846498556	0.1922810720992545	0.1682124249078524
