Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T25	T41	T44	T47	T50	T53	T56	T59	T63	T67
P13639	0	0	60	0	0	0	0	0	0.9999999999999962	1.0166321753747016	1.0264969397152583	1.0361204942465503	0.9398541280495996	0.6610127829883758	0.32626563619245036	0.18156002581663738	0.11873176285233175	0.11164653316731096
P18206	0	0	76	0	0	0	0	0	0.9999999999999962	1.0565318444289367	1.029871592774367	0.9729944542361217	1.0482079019123633	0.9251699959515225	0.7670041605830581	0.5428823551479349	0.8375813315835388	0.718446838259971
P06733	0	0	37	0	0	0	0	0	0.9999999999999962	1.0117517797031068	1.053070160405212	1.0514713569102792	1.0894689037234357	1.0269367334022244	0.9087961535026379	0.5893958139572917	0.25535331882675766	0.08968402521916065
P21333	0	0	85	0	0	0	0	0	0.9999999999999962	1.0659146433161197	1.110491394022713	1.0467480145522088	0.8875632208249078	0.5518554539341908	0.2707372719633078	0.19136659601058142	0.16810532402620493	0.16001679979751032
P11142	0	0	40	0	0	0	0	0	0.9999999999999962	0.9854388976547961	1.007650782500847	1.0207051370868694	0.9831790112675818	0.920841763386708	0.5940557328232952	0.19611254318106894	0.1438568477319964	0.13175234110362066
P26038	0	0	51	0	0	0	0	0	0.9999999999999962	1.0575506440402778	1.0465873047516685	1.099559625719145	1.0678646542593764	0.916328924265997	0.21897299083051086	0.11248420908257616	0.07874067565944311	0.07001488238441271
Q9Y490	0	0	74	0	0	0	0	0	0.9999999999999962	1.0359129318425724	1.027097032500915	0.9788482092141475	0.8615674041566718	0.4815340697675636	0.29702583177213604	0.16985845182673834	0.14200332211598227	0.1421502105020093
P49327	0	0	70	0	0	0	0	0	0.9999999999999962	1.0225962890295832	1.0404404083796703	0.9640613802331971	0.6647549194669249	0.3453387370895025	0.16847018619486753	0.1190993506730654	0.1036026325889128	0.11321678087252705
P08238	0	0	31	0	0	0	0	0	0.9999999999999962	1.0358563900347486	1.0526728016687634	1.0320549957471883	0.9756583692987939	0.7025471482758352	0.378229311997378	0.22071284913777728	0.1643575679179034	0.15258999975014786
P38646	0	0	43	0	0	0	0	0	0.9999999999999962	1.0083247179066834	1.0217958267341862	1.033713090606749	1.0278140490628827	0.9312198165118959	0.7801916765770923	0.38609238156831405	0.22603853918211045	0.1878742866167444
P55072	0	0	50	0	0	0	0	0	0.9999999999999962	0.9665078627390199	0.9604369186409176	0.9741928792336262	1.0294522964954351	0.9089288386110679	0.7373045276331361	0.6075576732819602	0.7530867309137552	0.802922322147703
P07900	0	0	34	0	0	0	0	0	0.9999999999999962	1.0188645297132213	1.0446271561158937	1.0266620832584181	1.0150295119268473	0.7784225525384284	0.42797421341497344	0.2741035139703798	0.2108730652791618	0.2033689110805619
Q14315	0	0	66	0	0	0	0	0	0.9999999999999962	1.054779048386403	1.0647522755607395	1.0043118088431195	0.9943929147013659	0.8232007187366372	0.5894513436086845	0.30852428747731475	0.22335056360249467	0.19827914265675803
P78371	0	0	36	0	0	0	0	0	0.9999999999999962	0.991966335246884	0.9877562006319581	0.9972267953060139	0.8845460966629268	0.860138908229581	0.5390807905412911	0.28022033607130936	0.12153022309611783	0.10235604646648294
Q00610	0	0	58	0	0	0	0	0	0.9999999999999962	1.0768481536363927	1.0349329931228894	1.0022491575998609	0.5127448442655204	0.304227384538697	0.15749635798938671	0.11670999806077434	0.10177672813894123	0.10473499793979142
P50990	0	0	42	0	0	0	0	0	0.9999999999999962	1.0397137978129412	1.0466649229305083	1.0877676866047565	0.9833075881973355	0.894393445847095	0.550771829174589	0.30013822562910747	0.1479098904123473	0.13971885921651342
P48643	0	0	35	0	0	0	0	0	0.9999999999999962	1.1029463862290763	1.0270912400995091	1.0989111628780293	1.0282673935824456	0.9899046582894249	0.6173676150267431	0.3200968145874473	0.1493142086437745	0.14384272443566268
P34932	0	0	45	0	0	0	0	0	0.9999999999999962	1.003102977247116	1.0400639022882832	1.028716526111283	0.9621123463805101	0.4648298136954604	0.21357712684591176	0.15410381314386698	0.14751592535984548	0.1329715100671811
P11021	0	0	35	0	0	0	0	0	0.9999999999999962	1.010669108790335	1.054181142994874	1.0708642655293876	1.0522835689011965	0.9186866137084442	0.7327499870865581	0.41128034716211265	0.29658008976365574	0.2462773706204268
P35579	0	0	64	0	0	0	0	0	0.9999999999999962	1.0737121774432097	1.0182404507512117	0.912586564073262	0.8626181880308665	0.6225333924773492	0.29007855515998915	0.19210613389847375	0.17520687119030617	0.15573224182098633
P49368	0	0	35	0	0	0	0	0	0.9999999999999962	0.9965430804690555	0.9858157461609637	0.9859684015672269	0.9261806366233701	0.9076619101903166	0.5596520133226971	0.2934476412473702	0.13167736725280701	0.12491591227356974
