Accession	Description	GeneName	Peptides	PSMs	AAs	MW.kDA	pI	QuantifyingPSMs	T25	T41	T44	T47	T50	T53	T56	T59	T63	T67
P13639	0	0	60	0	0	0	0	0	0.9999999999999962	0.9970323766225782	1.07907864236702	1.1005326938789861	1.004425809673449	0.7555821478975294	0.3668359123054335	0.20291910093638127	0.14698344778278288	0.13889298682313428
P18206	0	0	81	0	0	0	0	0	0.9999999999999962	1.0091320399907031	0.9847403675498068	0.9037903791265335	1.030350857614321	0.8801160996926063	0.7867888331012279	0.6509826321461023	0.7845599109938994	0.8422917460059453
P06733	0	0	39	0	0	0	0	0	0.9999999999999962	1.0241728792104368	1.0440427320123318	1.101542274187252	1.082020781947322	1.0790954769565946	0.897614697137195	0.6087285637200145	0.30368109532494997	0.09876015830781605
P21333	0	0	86	0	0	0	0	0	0.9999999999999962	0.978515999836894	0.912665988955643	0.7514489367593692	0.8907189992876833	0.5096138858430408	0.24795875285174784	0.1844221160123364	0.1675958734288073	0.16453646220331677
P11142	0	0	41	0	0	0	0	0	0.9999999999999962	1.0131795457418908	1.0340178284643842	1.071193820548549	1.0082792969189776	0.9428433193301078	0.6314763010484337	0.21231847361633277	0.1570976730533568	0.13881323476933013
P26038	0	0	47	0	0	0	0	0	0.9999999999999962	1.0299459097773318	1.059588880542766	1.0958895636054369	1.0863219681927558	0.9762920333968655	0.2412473637406599	0.12120288206638914	0.09641726001647105	0.08761082118599757
Q9Y490	0	0	73	0	0	0	0	0	0.9999999999999962	0.9853332658979372	0.9905532833642797	0.8654056662340358	0.8854678176034254	0.4692805257443557	0.2911944463964552	0.1848193916561833	0.15620625817965633	0.14292365562239542
P49327	0	0	68	0	0	0	0	0	0.9999999999999962	0.9839706872548192	1.0061199327199652	0.8650093472665119	0.7024976041371509	0.32190647808867207	0.16844578774706243	0.12484006737590635	0.10480791857833881	0.10411949632345412
P08238	0	0	32	0	0	0	0	0	0.9999999999999962	1.0416896235255921	1.063937851063148	1.0852359087059338	1.0382740379638689	0.8199672455287679	0.4064649258949773	0.2590380893327249	0.2049352917464303	0.20336933224162757
P38646	0	0	42	0	0	0	0	0	0.9999999999999962	1.0202792976191906	1.0184297464277539	1.0793005156378042	1.056026941233294	1.0252079387159942	0.7868204533090539	0.46219893672472356	0.23127524315297626	0.19941044029079014
P55072	0	0	45	0	0	0	0	0	0.9999999999999962	0.9691633579822696	1.0116579511049304	0.9818868160516029	1.0355310626278622	0.9643337003967791	0.7716368247635627	0.6103514769884952	0.6905378654580085	0.8492907862477963
P07900	0	0	36	0	0	0	0	0	0.9999999999999962	1.016446061295194	1.076539335602923	1.116098074371261	1.0629488045513458	0.8757637947603458	0.45387745126721235	0.28612299030248084	0.23678547110495035	0.2391173928387943
Q14315	0	0	63	0	0	0	0	0	0.9999999999999962	0.9915846857573777	0.8921334806106459	0.7560939453218641	0.9473649342123174	0.7590489838952954	0.5383725753674963	0.31638778695766645	0.22089556885491532	0.20649401770967366
P78371	0	0	40	0	0	0	0	0	0.9999999999999962	1.0310627345059977	1.0031016521295393	0.9991924312519859	0.9402093938552905	0.8350342248333447	0.5318439905829031	0.30732398540666644	0.1547197436257292	0.13566781376729498
Q00610	0	0	50	0	0	0	0	0	0.9999999999999962	0.9549708507803953	0.9576187075978624	0.8571458905957132	0.5570118083995532	0.25484496305656085	0.13621096213135123	0.09938653234790457	0.08961559167960681	0.0929908947356247
P50990	0	0	42	0	0	0	0	0	0.9999999999999962	1.0142255303742203	1.016878206698498	1.0180419999656607	0.9850830289799691	0.8673133194826743	0.5457914666286932	0.30540353803896414	0.17311103996733926	0.14673739883530929
P48643	0	0	37	0	0	0	0	0	0.9999999999999962	1.0475501110015446	1.0248986886502722	0.9812078145977646	0.9783948427008925	0.9114106729503625	0.5745451049890505	0.3084735489718404	0.16880088854893427	0.15677977745032634
